CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0027015330,0068,01/21/2020 09:00:00 AM,22.9,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 08:00:00 PM,20.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 04:00:00 PM,26.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 02:00:00 AM,19.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 06:00:00 AM,18.7,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 07:00:00 PM,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 03:00:00 AM,19.2,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 08:00:00 AM,21.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 09:00:00 AM,21.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 02:00:00 PM,28,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 09:00:00 PM,19,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 06:00:00 PM,18.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 11:00:00 AM,27.1,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 06:00:00 AM,18.8,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 11:00:00 PM,19.3,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 08:00:00 AM,20,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,07/01/2019 05:00:00 PM,27.7,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 02:00:00 PM,30.5,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
0027015330,0068,01/21/2020 04:00:00 PM,18,APTO OLAYA HERRERA - TX GPRS,ANTIOQUIA,MEDELLÍN,NECHÍ,6.221,-75.589,Temp Aire 2 m,°C
